Station,Date,Level,Level Flag,Manually Measured Water Level,Manual Measurement Ice Effect,Data Source
07DA023,22-Jun-97,294.718,,,,RAMP
07DA023,23-Jun-97,294.717,,,,RAMP
07DA023,24-Jun-97,294.71,,,,RAMP
07DA023,25-Jun-97,294.707,,,,RAMP
07DA023,26-Jun-97,294.709,,,,RAMP
07DA023,27-Jun-97,294.702,,,,RAMP
07DA023,28-Jun-97,294.694,,,,RAMP
07DA023,29-Jun-97,294.695,,,,RAMP
07DA023,30-Jun-97,294.688,,,,RAMP
07DA023,01-Jul-97,294.689,,,,RAMP
07DA023,02-Jul-97,294.679,,,,RAMP
07DA023,03-Jul-97,294.693,,,,RAMP
07DA023,04-Jul-97,294.69,,,,RAMP
07DA023,05-Jul-97,294.685,,,,RAMP
07DA023,06-Jul-97,294.679,,,,RAMP
07DA023,07-Jul-97,294.686,,,,RAMP
07DA023,08-Jul-97,294.68,,,,RAMP
07DA023,09-Jul-97,294.67,,,,RAMP
07DA023,10-Jul-97,294.675,,,,RAMP
07DA023,11-Jul-97,294.681,,,,RAMP
07DA023,12-Jul-97,294.681,,,,RAMP
07DA023,13-Jul-97,294.683,,,,RAMP
07DA023,14-Jul-97,294.694,,,,RAMP
07DA023,15-Jul-97,294.695,,,,RAMP
07DA023,16-Jul-97,294.693,,,,RAMP
07DA023,17-Jul-97,294.69,,,,RAMP
07DA023,18-Jul-97,294.695,,,,RAMP
07DA023,19-Jul-97,294.695,,,,RAMP
07DA023,20-Jul-97,294.701,,,,RAMP
07DA023,21-Jul-97,294.7,,,,RAMP
07DA023,22-Jul-97,294.692,,,,RAMP
07DA023,23-Jul-97,294.698,,,,RAMP
07DA023,24-Jul-97,294.688,,,,RAMP
07DA023,25-Jul-97,294.689,,,,RAMP
07DA023,26-Jul-97,294.688,,,,RAMP
07DA023,27-Jul-97,294.685,,,,RAMP
07DA023,28-Jul-97,294.679,,,,RAMP
07DA023,29-Jul-97,294.678,,,,RAMP
07DA023,30-Jul-97,294.679,,,,RAMP
07DA023,31-Jul-97,294.686,,,,RAMP
07DA023,01-Aug-97,294.69,,,,RAMP
07DA023,02-Aug-97,294.686,,,,RAMP
07DA023,03-Aug-97,294.687,,,,RAMP
07DA023,04-Aug-97,294.685,,,,RAMP
07DA023,05-Aug-97,294.686,,,,RAMP
07DA023,06-Aug-97,294.679,,,,RAMP
07DA023,07-Aug-97,294.683,,,,RAMP
07DA023,08-Aug-97,294.679,,,,RAMP
07DA023,09-Aug-97,294.677,,,,RAMP
07DA023,10-Aug-97,294.68,,,,RAMP
07DA023,11-Aug-97,294.688,,,,RAMP
07DA023,12-Aug-97,294.682,,,,RAMP
07DA023,13-Aug-97,294.683,,,,RAMP
07DA023,14-Aug-97,294.698,,,,RAMP
07DA023,15-Aug-97,294.698,,,,RAMP
07DA023,16-Aug-97,294.706,,,,RAMP
07DA023,17-Aug-97,294.704,,,,RAMP
07DA023,18-Aug-97,294.702,,,,RAMP
07DA023,19-Aug-97,294.702,,,,RAMP
07DA023,20-Aug-97,294.701,,,,RAMP
07DA023,21-Aug-97,294.704,,,,RAMP
07DA023,22-Aug-97,294.706,,,,RAMP
07DA023,23-Aug-97,294.706,,,,RAMP
07DA023,24-Aug-97,294.703,,,,RAMP
07DA023,25-Aug-97,294.698,,,,RAMP
07DA023,26-Aug-97,294.697,,,,RAMP
07DA023,27-Aug-97,294.693,,,,RAMP
07DA023,28-Aug-97,294.702,,,,RAMP
07DA023,29-Aug-97,294.697,,,,RAMP
07DA023,30-Aug-97,294.696,,,,RAMP
07DA023,31-Aug-97,294.688,,,,RAMP
07DA023,01-Sep-97,294.681,,,,RAMP
07DA023,02-Sep-97,294.682,,,,RAMP
07DA023,03-Sep-97,294.676,,,,RAMP
07DA023,04-Sep-97,294.677,,,,RAMP
07DA023,05-Sep-97,294.675,,,,RAMP
07DA023,06-Sep-97,294.68,,,,RAMP
07DA023,07-Sep-97,294.68,,,,RAMP
07DA023,08-Sep-97,294.68,,,,RAMP
07DA023,09-Sep-97,294.679,,,,RAMP
07DA023,10-Sep-97,294.678,,,,RAMP
07DA023,11-Sep-97,294.678,,,,RAMP
07DA023,12-Sep-97,294.687,,,,RAMP
07DA023,13-Sep-97,294.728,,,,RAMP
07DA023,14-Sep-97,294.721,,,,RAMP
07DA023,15-Sep-97,294.728,,,,RAMP
07DA023,16-Sep-97,294.748,,,,RAMP
07DA023,17-Sep-97,294.74,,,,RAMP
07DA023,18-Sep-97,294.741,,,,RAMP
07DA023,19-Sep-97,294.744,,,,RAMP
