Source,CS_ID,Name,Date,Daily Precip
ACIS,Aurora,Aurora,01-Jan-19,6.2
ACIS,Aurora,Aurora,02-Jan-19,0.2
ACIS,Aurora,Aurora,03-Jan-19,0
ACIS,Aurora,Aurora,04-Jan-19,0
ACIS,Aurora,Aurora,05-Jan-19,0
ACIS,Aurora,Aurora,06-Jan-19,0.2
ACIS,Aurora,Aurora,07-Jan-19,2.2
ACIS,Aurora,Aurora,08-Jan-19,0.2
ACIS,Aurora,Aurora,09-Jan-19,0
ACIS,Aurora,Aurora,10-Jan-19,0.2
ACIS,Aurora,Aurora,11-Jan-19,0
ACIS,Aurora,Aurora,12-Jan-19,0
ACIS,Aurora,Aurora,13-Jan-19,0
ACIS,Aurora,Aurora,14-Jan-19,3.2
ACIS,Aurora,Aurora,15-Jan-19,0
ACIS,Aurora,Aurora,16-Jan-19,0.2
ACIS,Aurora,Aurora,17-Jan-19,0
ACIS,Aurora,Aurora,18-Jan-19,0
ACIS,Aurora,Aurora,19-Jan-19,0
ACIS,Aurora,Aurora,20-Jan-19,0
ACIS,Aurora,Aurora,21-Jan-19,0.4
ACIS,Aurora,Aurora,22-Jan-19,3.4
ACIS,Aurora,Aurora,23-Jan-19,0
ACIS,Aurora,Aurora,24-Jan-19,0
ACIS,Aurora,Aurora,25-Jan-19,0
ACIS,Aurora,Aurora,26-Jan-19,1.8
ACIS,Aurora,Aurora,27-Jan-19,2
ACIS,Aurora,Aurora,28-Jan-19,0
ACIS,Aurora,Aurora,29-Jan-19,0.2
ACIS,Aurora,Aurora,30-Jan-19,3.4
ACIS,Aurora,Aurora,31-Jan-19,1.4
ACIS,Aurora,Aurora,01-Feb-19,0
ACIS,Aurora,Aurora,02-Feb-19,2.4
ACIS,Aurora,Aurora,03-Feb-19,0
ACIS,Aurora,Aurora,04-Feb-19,0
ACIS,Aurora,Aurora,05-Feb-19,0
ACIS,Aurora,Aurora,06-Feb-19,0
ACIS,Aurora,Aurora,07-Feb-19,0
ACIS,Aurora,Aurora,08-Feb-19,0
ACIS,Aurora,Aurora,09-Feb-19,0
ACIS,Aurora,Aurora,10-Feb-19,0
ACIS,Aurora,Aurora,11-Feb-19,2.4
ACIS,Aurora,Aurora,12-Feb-19,0.8
ACIS,Aurora,Aurora,13-Feb-19,0
ACIS,Aurora,Aurora,14-Feb-19,0
ACIS,Aurora,Aurora,15-Feb-19,0
ACIS,Aurora,Aurora,16-Feb-19,0
ACIS,Aurora,Aurora,17-Feb-19,0
ACIS,Aurora,Aurora,18-Feb-19,0.2
ACIS,Aurora,Aurora,19-Feb-19,1.6
ACIS,Aurora,Aurora,20-Feb-19,1.8
ACIS,Aurora,Aurora,21-Feb-19,0
ACIS,Aurora,Aurora,22-Feb-19,0
ACIS,Aurora,Aurora,23-Feb-19,0
ACIS,Aurora,Aurora,24-Feb-19,0
ACIS,Aurora,Aurora,25-Feb-19,0
ACIS,Aurora,Aurora,26-Feb-19,0
ACIS,Aurora,Aurora,27-Feb-19,0
ACIS,Aurora,Aurora,28-Feb-19,0
ACIS,Aurora,Aurora,01-Mar-19,0
ACIS,Aurora,Aurora,02-Mar-19,0
ACIS,Aurora,Aurora,03-Mar-19,0
ACIS,Aurora,Aurora,04-Mar-19,0
ACIS,Aurora,Aurora,05-Mar-19,0
ACIS,Aurora,Aurora,06-Mar-19,0
ACIS,Aurora,Aurora,07-Mar-19,0
ACIS,Aurora,Aurora,08-Mar-19,0
ACIS,Aurora,Aurora,09-Mar-19,0
ACIS,Aurora,Aurora,10-Mar-19,0
ACIS,Aurora,Aurora,11-Mar-19,0
ACIS,Aurora,Aurora,12-Mar-19,0
ACIS,Aurora,Aurora,13-Mar-19,0
ACIS,Aurora,Aurora,14-Mar-19,0
ACIS,Aurora,Aurora,15-Mar-19,0.8
ACIS,Aurora,Aurora,16-Mar-19,0
ACIS,Aurora,Aurora,17-Mar-19,0
ACIS,Aurora,Aurora,18-Mar-19,0
ACIS,Aurora,Aurora,19-Mar-19,0.1
ACIS,Aurora,Aurora,20-Mar-19,0
ACIS,Aurora,Aurora,21-Mar-19,0
ACIS,Aurora,Aurora,22-Mar-19,0
ACIS,Aurora,Aurora,23-Mar-19,0
ACIS,Aurora,Aurora,24-Mar-19,0
ACIS,Aurora,Aurora,25-Mar-19,0
ACIS,Aurora,Aurora,26-Mar-19,0.3
ACIS,Aurora,Aurora,27-Mar-19,0
ACIS,Aurora,Aurora,28-Mar-19,0
ACIS,Aurora,Aurora,29-Mar-19,0
ACIS,Aurora,Aurora,30-Mar-19,0
ACIS,Aurora,Aurora,31-Mar-19,0
ACIS,Aurora,Aurora,01-Apr-19,0.4
ACIS,Aurora,Aurora,02-Apr-19,0.4
ACIS,Aurora,Aurora,03-Apr-19,2.2
ACIS,Aurora,Aurora,04-Apr-19,0
ACIS,Aurora,Aurora,05-Apr-19,0
ACIS,Aurora,Aurora,06-Apr-19,2.8
ACIS,Aurora,Aurora,07-Apr-19,2.8
ACIS,Aurora,Aurora,08-Apr-19,0
ACIS,Aurora,Aurora,09-Apr-19,0
ACIS,Aurora,Aurora,10-Apr-19,0
ACIS,Aurora,Aurora,11-Apr-19,0
ACIS,Aurora,Aurora,12-Apr-19,0
ACIS,Aurora,Aurora,13-Apr-19,0
ACIS,Aurora,Aurora,14-Apr-19,0
ACIS,Aurora,Aurora,15-Apr-19,0
ACIS,Aurora,Aurora,16-Apr-19,0.4
ACIS,Aurora,Aurora,17-Apr-19,0
ACIS,Aurora,Aurora,18-Apr-19,0
ACIS,Aurora,Aurora,19-Apr-19,0
ACIS,Aurora,Aurora,20-Apr-19,2.2
ACIS,Aurora,Aurora,21-Apr-19,0
ACIS,Aurora,Aurora,22-Apr-19,0
ACIS,Aurora,Aurora,23-Apr-19,0
ACIS,Aurora,Aurora,24-Apr-19,0
ACIS,Aurora,Aurora,25-Apr-19,1.2
ACIS,Aurora,Aurora,26-Apr-19,0.8
ACIS,Aurora,Aurora,27-Apr-19,0
ACIS,Aurora,Aurora,28-Apr-19,0
ACIS,Aurora,Aurora,29-Apr-19,1.8
ACIS,Aurora,Aurora,30-Apr-19,0
ACIS,Aurora,Aurora,01-May-19,0
ACIS,Aurora,Aurora,02-May-19,0
ACIS,Aurora,Aurora,03-May-19,18.6
ACIS,Aurora,Aurora,04-May-19,0
ACIS,Aurora,Aurora,05-May-19,0
ACIS,Aurora,Aurora,06-May-19,0
ACIS,Aurora,Aurora,07-May-19,0
ACIS,Aurora,Aurora,08-May-19,0
ACIS,Aurora,Aurora,09-May-19,1.4
ACIS,Aurora,Aurora,10-May-19,0
ACIS,Aurora,Aurora,11-May-19,0
ACIS,Aurora,Aurora,12-May-19,2.2
ACIS,Aurora,Aurora,13-May-19,0
ACIS,Aurora,Aurora,14-May-19,0
ACIS,Aurora,Aurora,15-May-19,0
ACIS,Aurora,Aurora,16-May-19,0
ACIS,Aurora,Aurora,17-May-19,0
ACIS,Aurora,Aurora,18-May-19,0
ACIS,Aurora,Aurora,19-May-19,0
ACIS,Aurora,Aurora,20-May-19,0
ACIS,Aurora,Aurora,21-May-19,0
ACIS,Aurora,Aurora,22-May-19,0
ACIS,Aurora,Aurora,23-May-19,0
ACIS,Aurora,Aurora,24-May-19,0
ACIS,Aurora,Aurora,25-May-19,0
ACIS,Aurora,Aurora,26-May-19,0
ACIS,Aurora,Aurora,27-May-19,0
ACIS,Aurora,Aurora,28-May-19,0
ACIS,Aurora,Aurora,29-May-19,0
ACIS,Aurora,Aurora,30-May-19,0
ACIS,Aurora,Aurora,31-May-19,0
ACIS,Aurora,Aurora,01-Jun-19,6.2
ACIS,Aurora,Aurora,02-Jun-19,0
ACIS,Aurora,Aurora,03-Jun-19,8.4
ACIS,Aurora,Aurora,04-Jun-19,0
ACIS,Aurora,Aurora,05-Jun-19,0
ACIS,Aurora,Aurora,06-Jun-19,0
ACIS,Aurora,Aurora,07-Jun-19,0
ACIS,Aurora,Aurora,08-Jun-19,0.2
